PARAMETRY: S=1000, Sr=999, lO=0.5, lH=0.2
Czas	Ro	Q	W
0	0.00	0	0.00
1	0.00	0	0.00
2	0.00	2	0.00
3	0.00	4	0.50
4	0.00	4	1.50
5	0.00	5	2.00
6	0.00	6	2.50
7	0.00	6	3.50
8	0.00	6	4.50
9	0.00	7	4.71
10	0.00	8	5.00
11	0.00	8	6.00
12	0.00	11	5.09
13	0.00	12	5.58
14	0.00	13	6.08
15	0.00	14	6.57
16	0.00	16	6.62
17	0.00	16	7.62
18	0.00	16	8.62
19	0.00	16	9.62
20	0.00	16	10.62
21	0.00	18	10.33
22	0.00	19	10.74
23	0.00	19	11.74
24	0.00	19	12.74
25	0.00	19	13.74
26	0.00	19	14.74
27	0.00	20	14.95
28	0.00	20	15.95
29	0.00	20	16.95
30	0.00	21	17.10
31	0.00	21	18.10
32	0.00	21	19.10
33	0.00	21	20.10
34	0.00	22	20.14
35	0.00	23	20.22
36	0.00	26	18.77
37	0.00	26	19.77
38	0.00	26	20.77
39	0.00	27	20.96
40	0.00	29	20.45
41	0.00	29	21.45
42	0.00	29	22.45
43	0.00	29	23.45
44	0.00	29	24.45
45	0.00	30	24.60
46	0.00	30	25.60
47	0.00	30	26.60
48	0.00	31	26.71
49	0.00	31	27.71
50	0.00	31	28.71
51	0.01	32	28.78
52	0.01	32	29.78
53	0.01	33	29.85
54	0.01	36	28.28
55	0.01	36	29.28
56	0.01	37	29.46
57	0.01	37	30.46
58	0.01	37	31.46
59	0.01	37	32.46
60	0.01	37	33.46
61	0.01	38	33.55
62	0.01	38	34.55
63	0.01	38	35.55
64	0.01	38	36.55
65	0.01	38	37.55
66	0.01	39	37.56
67	0.01	39	38.56
68	0.01	39	39.56
69	0.01	39	40.56
70	0.01	40	40.52
71	0.01	40	41.52
72	0.01	40	42.52
73	0.01	40	43.52
74	0.01	41	43.44
75	0.01	43	42.37
76	0.01	43	43.37
77	0.01	43	44.37
78	0.01	43	45.37
79	0.01	44	45.32
80	0.01	44	46.32
81	0.01	44	47.32
82	0.01	45	47.24
83	0.01	45	48.24
84	0.01	45	49.24
85	0.01	45	50.24
86	0.01	47	49.06
87	0.01	47	50.06
88	0.01	47	51.06
89	0.01	47	52.06
90	0.01	48	51.96
91	0.01	48	52.96
92	0.01	48	53.96
93	0.01	49	53.84
94	0.01	49	54.84
95	0.01	49	55.84
96	0.01	51	54.61
97	0.01	51	55.61
98	0.01	51	56.61
99	0.01	51	57.61
100	0.01	51	58.61
101	0.01	51	59.61
102	0.01	51	60.61
103	0.01	51	61.61
104	0.01	51	62.61
105	0.01	51	63.61
106	0.01	51	64.61
107	0.01	51	65.61
108	0.01	51	66.61
109	0.01	52	66.31
110	0.01	53	66.04
111	0.01	53	67.04
112	0.01	54	66.78
113	0.01	54	67.78
114	0.01	54	68.78
115	0.01	54	69.78
116	0.01	55	69.49
117	0.01	56	69.23
118	0.01	56	70.23
119	0.01	58	68.78
120	0.01	58	69.78
121	0.01	60	68.42
